"System","Type","Name","SubName","Datatype","Description"
"Freshteam","branch","city","","string","City in which the branch is located."
"Freshteam","branch","country_code","","string","Country in which the branch is located, specified as a character code."
"Freshteam","branch","created_at","","string","Timestamp of when the branch is created for an organization, specified in the date-time format."
"Freshteam","branch","currency","","string","Three-character valid ISO currency code."
"Freshteam","branch","date_format","","string","Accepted date format at the region where the branch is located.
Possible values: MonthFirst (specifies that the accepted format is MM-DD-YYYY), DateFirst (specifies that the accepted format is DD-MM-YYYY)"
"Freshteam","branch","deleted","","boolean","Specifies whether the branch is still a valid location. An organization can relocate or consolidate branches, in which case the existing branch information is deleted from the Freshteam account but the branch details can still exist in the system as historical data. For such deleted branches, the deleted attribute is set as true.
Possible values: true, false"
"Freshteam","branch","id","","number","Identifier of the branch object, auto-generated when a new branch is configured in the Freshteam system."
"Freshteam","branch","language","","string","Primary language at the branch location."
"Freshteam","branch","main_office","","boolean","Specifies whether the branch is the main office at a location.
Possible values: true,false"
"Freshteam","branch","name","","string","Descriptive identifier of the branch."
"Freshteam","branch","state","","string","Province in which the branch is located."
"Freshteam","branch","street","","string","Address parameter of the branch."
"Freshteam","branch","time_zone","","string","Time-zone applicable to the branch location."
"Freshteam","branch","updated_at","","string","Timestamp of when the branch details are last modified, specified in the date-time format."
"Freshteam","branch","zip","","string","Postal code of the region where the branch is located."
"Freshteam","business-unit","created_at","","string","Timestamp of when the business unit is created, specified in the date-time format."
"Freshteam","business-unit","deleted","","boolean","Specifies whether the business unit is still a valid business function in the organization.
Possible values: true, false"
"Freshteam","business-unit","description","","string","Description stating what the business function entails."
"Freshteam","business-unit","id","","integer","Identifier of the business unit object, auto-generated when a new business unit is created in the Freshteam system."
"Freshteam","business-unit","name","","string","Descriptive identifier of the business unit.
Examples: Dev Ops, Web Ops, Engineering, and so on."
"Freshteam","business-unit","updated_at","","string","Timestamp of when the business unit’s details were last modified, specified in the date-time format."
"Freshteam","department","created_at","","string","Timestamp of when the department is created, specified in the date-time format."
